image,distance_mm
img_000611.png,122.200302
img_000612.png,122.431963
img_000613.png,122.636065
img_000614.png,122.805521
img_000615.png,123.062658
img_000616.png,123.209917
img_000617.png,123.415736
img_000618.png,123.686308
img_000619.png,123.855501
img_000620.png,124.051269
img_000621.png,124.203982
img_000622.png,124.406991
img_000623.png,124.640164
img_000624.png,124.801346
img_000625.png,125.059464
img_000626.png,125.219478
img_000627.png,125.410065
img_000628.png,125.685671
img_000629.png,125.812886
img_000630.png,126.050027
img_000631.png,126.308889
img_000632.png,126.431096
img_000633.png,126.659858
img_000634.png,126.804255
img_000635.png,127.056917
img_000636.png,127.212851
img_000637.png,127.429440
img_000638.png,127.643741
img_000639.png,127.810466
img_000640.png,128.052844
img_000641.png,128.212931
img_000642.png,128.417403
img_000643.png,128.668887
img_000644.png,128.804953
img_000645.png,129.061875
img_000646.png,129.208032
img_000647.png,129.418481
img_000648.png,129.668521
img_000649.png,129.811848
img_000650.png,130.050396
img_000651.png,130.230122
img_000652.png,130.435684
img_000653.png,130.680820
img_000654.png,130.801453
img_000655.png,131.061910
img_000656.png,131.316257
img_000657.png,131.464502
img_000658.png,131.681377
img_000659.png,131.812535
img_000660.png,132.070254
img_000661.png,132.218698
img_000662.png,132.406660
img_000663.png,132.672771
img_000664.png,132.804722
img_000665.png,133.060183
img_000666.png,133.221248
img_000667.png,133.447351
img_000668.png,133.655057
img_000669.png,133.812814
img_000670.png,134.067634
img_000671.png,134.218969
img_000672.png,134.424377
img_000673.png,134.658131
img_000674.png,134.822574
img_000675.png,135.063246
img_000676.png,135.202458
img_000677.png,135.407610
img_000678.png,135.687070
img_000679.png,135.806119
img_000680.png,136.035342
img_000681.png,136.204937
img_000682.png,136.435524
img_000683.png,136.693995
img_000684.png,136.831450
img_000685.png,137.037230
img_000686.png,137.205991
img_000687.png,137.442278
img_000688.png,137.603674
img_000689.png,137.813036
img_000690.png,138.067945
img_000691.png,138.242393
img_000692.png,138.432618
img_000693.png,138.668438
img_000694.png,138.821294
img_000695.png,139.060576
img_000696.png,139.205037
img_000697.png,139.423991
img_000698.png,139.683965
img_000699.png,139.812199
img_000700.png,140.064719
img_000701.png,140.203268
img_000702.png,140.411203
img_000703.png,140.659015
img_000704.png,140.817391
img_000705.png,141.025543
img_000706.png,141.281403
img_000707.png,141.442832
img_000708.png,141.601906
img_000709.png,141.811760
img_000710.png,142.068214
img_000711.png,142.287678
